pTHUMB_BONE3_X,pTHUMB_BONE3_Y,pTHUMB_BONE3_Z,pINDEX_BONE3_X,pINDEX_BONE3_Y,pINDEX_BONE3_Z,pMIDDLE_BONE3_X,pMIDDLE_BONE3_Y,pMIDDLE_BONE3_Z,pRING_BONE3_X,pRING_BONE3_Y,pRING_BONE3_Z,pPINKY_BONE3_X,pPINKY_BONE3_Y,pPINKY_BONE3_Z,target
0.18632,-0.1656993,0.5433834,0.05644882,0.03831972,0.6350939,-0.01440718,0.05875232,0.6408111,-0.1444889,-0.03462784,0.6348618,-0.08198886,0.03206687,0.644708,OPEN
0.1856413,-0.1654531,0.5418537,0.05661564,0.03830262,0.6353245,-0.01435092,0.05882041,0.6410295,-0.1446647,-0.03459688,0.6351214,-0.08208657,0.03212325,0.6449859,OPEN
0.1854651,-0.1653701,0.5413879,0.05660532,0.03835009,0.6353414,-0.01442741,0.05886769,0.6410705,-0.1448355,-0.03463527,0.6351399,-0.0822178,0.03214337,0.6450276,OPEN
0.1856948,-0.1653817,0.5416184,0.05654711,0.03851708,0.6352572,-0.01450166,0.05901316,0.6411154,-0.1450159,-0.03455898,0.6350548,-0.08228394,0.03228931,0.6450243,OPEN
0.1862195,-0.1653742,0.5418044,0.05647663,0.03883623,0.6348732,-0.01456947,0.05917522,0.6411927,-0.1450661,-0.03458194,0.6352564,-0.08235867,0.03236312,0.6452128,OPEN
0.1862997,-0.1650702,0.5416394,0.05651942,0.03924889,0.6350505,-0.01459152,0.05956264,0.6416065,-0.1452448,-0.03429921,0.6356668,-0.08244938,0.03271352,0.6456627,OPEN
0.1860467,-0.1648066,0.5412863,0.05636793,0.03933975,0.6350939,-0.01477193,0.05960214,0.6417573,-0.1453637,-0.03432764,0.635885,-0.08256754,0.03272164,0.6458672,OPEN
0.1845716,-0.1640218,0.5393994,0.05636982,0.03935289,0.6360174,-0.0148571,0.05979662,0.6422796,-0.1457138,-0.03431973,0.6366413,-0.08229969,0.03297741,0.6467064,OPEN
0.138181,-0.08506859,0.5744436,-0.04354321,-0.06749863,0.5344196,-0.06969114,-0.07127889,0.5291415,-0.1177992,-0.1239923,0.5765318,-0.09780203,-0.101145,0.5465634,THUMB
0.1384762,-0.08491753,0.5759317,-0.04328517,-0.06689457,0.5350479,-0.0694792,-0.07047261,0.5296755,-0.1177723,-0.1231112,0.5768725,-0.09771965,-0.1002033,0.5469741,THUMB
