pTHUMB_BONE3_X,pTHUMB_BONE3_Y,pTHUMB_BONE3_Z,pINDEX_BONE3_X,pINDEX_BONE3_Y,pINDEX_BONE3_Z,pMIDDLE_BONE3_X,pMIDDLE_BONE3_Y,pMIDDLE_BONE3_Z,pRING_BONE3_X,pRING_BONE3_Y,pRING_BONE3_Z,pPINKY_BONE3_X,pPINKY_BONE3_Y,pPINKY_BONE3_Z,THUMB_INDEX_ANGLE,INDEX_MIDDLE_ANGLE,MIDDLE_RING_ANGLE,RING_PINKY_ANGLE,target
-0.7629725,-0.1604854,-0.1800219,-0.3961262,0.7547171,0.07621325,-0.1216043,0.8670648,0.1709925,0.3802491,0.5837744,0.3333889,0.1131232,0.8034165,0.2524535,0.2444533,0.9373556,0.7502608,0.9084492,FIVE
-0.7623773,-0.154668,-0.1873137,-0.3934636,0.7549762,0.08370274,-0.118915,0.8651214,0.1815795,0.3806934,0.5802357,0.3391322,0.1159446,0.8007636,0.2602224,0.2447353,0.9372499,0.7522959,0.9094114,FIVE
-0.7621773,-0.1544649,-0.1923954,-0.3927539,0.7549949,0.08382597,-0.116998,0.865188,0.1814281,0.3820155,0.5796506,0.3386959,0.1179135,0.8006606,0.2596994,0.243182,0.936809,0.7524265,0.9095024,FIVE
-0.7628958,-0.1571828,-0.1889631,-0.3921273,0.7561373,0.08071429,-0.1155194,0.866839,0.1771839,0.3841164,0.580675,0.3357442,0.1191095,0.8021883,0.2560752,0.2406794,0.9366482,0.7517481,0.9090011,FIVE
-0.7634357,-0.1546268,-0.1875652,-0.3861023,0.7618372,0.06867635,-0.1097376,0.8708853,0.1677695,0.3863855,0.5820426,0.3327948,0.1214916,0.8047891,0.2500035,0.2390105,0.9368361,0.7524074,0.9084672,FIVE
-0.7637402,-0.1526421,-0.183502,-0.3844482,0.7625192,0.07118992,-0.1078099,0.8710793,0.1691842,0.3862532,0.5830058,0.3305384,0.1205194,0.8049083,0.2497878,0.2394163,0.936976,0.7551244,0.9086471,FIVE
-0.7629946,-0.1499738,-0.1823089,-0.3854588,0.7612315,0.06977164,-0.1086279,0.8707954,0.1656536,0.3851924,0.5849111,0.3264286,0.1193612,0.8054699,0.2453951,0.2445584,0.9369107,0.7558479,0.9088198,FIVE
-0.7638448,-0.152044,-0.1777955,-0.3875575,0.7594622,0.07378452,-0.1106072,0.8701367,0.1669754,0.3848546,0.5857415,0.3248508,0.1184199,0.8053675,0.24556,0.244913,0.9370148,0.7558586,0.9090597,FIVE
-0.7631106,-0.1502705,-0.1795223,-0.3871987,0.7607796,0.06590852,-0.1101239,0.8723751,0.1582676,0.3840588,0.5895681,0.3194588,0.1180663,0.8083277,0.236938,0.247755,0.93701,0.7569403,0.9092006,FIVE
-0.7627821,-0.1471297,-0.1860438,-0.3850769,0.7622076,0.06588506,-0.1072869,0.8724135,0.1610793,0.3861355,0.5867974,0.3233937,0.1206563,0.8070036,0.2411464,0.2474928,0.9366357,0.756231,0.9090241,FIVE
-0.7633783,-0.1495959,-0.1855938,-0.3847848,0.7624258,0.06862896,-0.1079911,0.8718855,0.1652069,0.3855359,0.5876822,0.3225501,0.1201422,0.8064301,0.2444052,0.2436458,0.9369758,0.7580352,0.9101152,FIVE
-0.7639055,-0.1485056,-0.1879711,-0.3798648,0.7644873,0.06673934,-0.1026244,0.8716232,0.1665339,0.3890371,0.5815985,0.3293862,0.1256964,0.8033445,0.2505613,0.2393894,0.9366409,0.7553886,0.9097824,FIVE
