pTHUMB_BONE3_X,pTHUMB_BONE3_Y,pTHUMB_BONE3_Z,pINDEX_BONE3_X,pINDEX_BONE3_Y,pINDEX_BONE3_Z,pMIDDLE_BONE3_X,pMIDDLE_BONE3_Y,pMIDDLE_BONE3_Z,pRING_BONE3_X,pRING_BONE3_Y,pRING_BONE3_Z,pPINKY_BONE3_X,pPINKY_BONE3_Y,pPINKY_BONE3_Z,THUMB_INDEX_ANGLE,INDEX_MIDDLE_ANGLE,MIDDLE_RING_ANGLE,RING_PINKY_ANGLE,target
0.09218524,0.7098911,-0.1716283,-0.3309954,0.2718845,-0.148762,-0.3852313,0.1949279,-0.1586269,-0.3732456,-0.02899754,-0.03321777,-0.3935462,0.0741106,-0.1197485,0.9724216,0.2071607,0.5925255,0.3280489,THUMB
0.09064839,0.7100371,-0.1735487,-0.3323528,0.2703961,-0.1487413,-0.3850686,0.192898,-0.1584314,-0.3708427,-0.03153812,-0.03262203,-0.3920303,0.07154277,-0.1195713,0.9742012,0.2065765,0.5960407,0.3305778,THUMB
0.09276372,0.7086484,-0.1618622,-0.330943,0.2682242,-0.148966,-0.3838679,0.1908396,-0.1590861,-0.3709949,-0.03143645,-0.03323531,-0.3911057,0.07065009,-0.1204211,0.9826111,0.2075382,0.59343,0.329556,THUMB
0.09515269,0.7083062,-0.15419,-0.3307311,0.2674797,-0.1491487,-0.3840356,0.190115,-0.1596868,-0.3720871,-0.03133408,-0.03405144,-0.3915952,0.07044654,-0.1212107,0.9894,0.2081044,0.5910928,0.328285,THUMB
0.09455517,0.7071178,-0.1547801,-0.3305404,0.2637571,-0.1499705,-0.3841568,0.1860251,-0.1598849,-0.3729264,-0.03291824,-0.03299644,-0.3912659,0.06721921,-0.1205974,0.9945713,0.2097554,0.5892109,0.3268435,THUMB
0.09711583,0.7080976,-0.1528701,-0.3301817,0.2647445,-0.1499665,-0.3843931,0.1873839,-0.1605715,-0.3742213,-0.03179523,-0.03492729,-0.3923854,0.06887896,-0.1216173,0.9963244,0.2095761,0.5865355,0.3248293,THUMB
0.09692924,0.7098695,-0.1563815,-0.3311018,0.2675029,-0.1504054,-0.3858691,0.19096,-0.1614525,-0.3745717,-0.03107839,-0.03661382,-0.39413,0.07134964,-0.1226481,0.9911919,0.2075547,0.5876612,0.3251151,THUMB
0.09778684,0.7106707,-0.1660988,-0.3311894,0.2703333,-0.1524644,-0.385786,0.1939658,-0.1641502,-0.3731697,-0.03056985,-0.03933828,-0.3938969,0.07298285,-0.1255162,0.9839932,0.20621,0.5902278,0.3265328,THUMB
0.101517,0.7103584,-0.1551834,-0.3256507,0.2700032,-0.152608,-0.3807313,0.1938793,-0.1656192,-0.3708876,-0.02878758,-0.041417,-0.3902636,0.07413737,-0.1279054,0.9854059,0.2084935,0.5903491,0.3274319,THUMB
0.09811469,0.7111011,-0.1589987,-0.3300787,0.2690513,-0.1541474,-0.3851636,0.1928496,-0.1671825,-0.3733684,-0.0312291,-0.04241678,-0.3944169,0.07245463,-0.12913,0.9873167,0.2069125,0.5888945,0.326224,THUMB
0.0981397,0.7129892,-0.1592636,-0.3343807,0.2724679,-0.1505435,-0.3891973,0.1963078,-0.1636004,-0.3765552,-0.03120067,-0.04041722,-0.3987894,0.0745035,-0.1258977,0.98768,0.2049026,0.589727,0.3256784,THUMB
0.09641267,0.7154426,-0.1568498,-0.3378316,0.2729568,-0.144786,-0.3916222,0.1959739,-0.1581413,-0.3765648,-0.03364646,-0.03713302,-0.4001742,0.07336864,-0.1214182,0.9905373,0.2051257,0.5922517,0.3272206,THUMB
0.09855226,0.7160826,-0.1589892,-0.3397799,0.2745234,-0.1440036,-0.3939886,0.1976268,-0.1566517,-0.3790413,-0.03294099,-0.03523843,-0.4029047,0.07481203,-0.1191668,0.9927728,0.2043127,0.59175,0.3264951,THUMB
0.09973786,0.716495,-0.1619158,-0.3400764,0.2744334,-0.1413668,-0.394709,0.1975981,-0.1530903,-0.3793181,-0.03270639,-0.03114332,-0.4036195,0.07515327,-0.1151932,0.9942593,0.2047368,0.5927364,0.327509,THUMB
0.1011755,0.7156187,-0.163122,-0.3398954,0.270556,-0.1411229,-0.393238,0.1928046,-0.1517969,-0.3776891,-0.03516307,-0.02796979,-0.401395,0.07114655,-0.1131512,1.00214,0.2060702,0.5951608,0.329331,THUMB
0.1010866,0.7141345,-0.1644689,-0.3400556,0.2675771,-0.1432476,-0.3929613,0.1895225,-0.1533336,-0.3764762,-0.03680861,-0.02777169,-0.3997907,0.06808203,-0.1141423,1.006726,0.2064186,0.5953305,0.3299608,THUMB
0.1046531,0.7130172,-0.1642902,-0.3368041,0.2692581,-0.1466681,-0.3896831,0.1913453,-0.1572636,-0.375121,-0.03473297,-0.03168409,-0.396565,0.06967732,-0.1183471,1.003742,0.2065413,0.5954831,0.3301761,THUMB
0.1062285,0.7124262,-0.1655557,-0.3356879,0.2705797,-0.1496542,-0.3887718,0.1929203,-0.1606558,-0.3753358,-0.03328555,-0.03507895,-0.3960195,0.07099702,-0.1216161,1.001292,0.2059729,0.5940289,0.3287624,THUMB
0.1082281,0.7120688,-0.1560583,-0.3288064,0.2726537,-0.1498049,-0.3835555,0.1955852,-0.1611916,-0.3750862,-0.02906911,-0.03776574,-0.3928761,0.07454591,-0.12366,0.9939235,0.208533,0.5917497,0.3271987,THUMB
0.1020162,0.7120034,-0.1596347,-0.3309276,0.2701065,-0.1473325,-0.3859318,0.1930942,-0.1577268,-0.3751605,-0.03069284,-0.03359266,-0.3947037,0.07246649,-0.1197398,0.9921311,0.208661,0.5912696,0.3270178,THUMB
0.1038187,0.7115238,-0.1615049,-0.3309205,0.2715769,-0.148216,-0.3853132,0.1946295,-0.1588435,-0.3743105,-0.03018027,-0.03455856,-0.3938083,0.07340584,-0.1207464,0.9913376,0.2075483,0.5930489,0.3281116,THUMB
