pTHUMB_BONE3_X,pTHUMB_BONE3_Y,pTHUMB_BONE3_Z,pINDEX_BONE3_X,pINDEX_BONE3_Y,pINDEX_BONE3_Z,pMIDDLE_BONE3_X,pMIDDLE_BONE3_Y,pMIDDLE_BONE3_Z,pRING_BONE3_X,pRING_BONE3_Y,pRING_BONE3_Z,pPINKY_BONE3_X,pPINKY_BONE3_Y,pPINKY_BONE3_Z,target
-0.3703091,0.2736725,-0.189051,-0.1445091,0.8568208,-0.1087663,-0.2729909,0.8513995,0.1539758,-0.3190065,0.06168829,0.09611012,-0.3436509,0.07579736,-0.03935084,TWO
-0.4465655,0.195854,-0.03047435,-0.3248427,0.8056322,-0.09077067,-0.318208,0.8389189,0.1567079,-0.2503038,0.02344079,0.2178049,-0.3216518,0.007415562,0.1112728,TWO
-0.4306179,0.1377293,0.1014313,-0.4749633,0.732201,-0.03728871,-0.3580373,0.8328198,0.1545166,-0.1912038,0.01247396,0.2908904,-0.2669962,-0.03827523,0.2055217,TWO
-0.375406,0.1167319,0.238029,-0.5110267,0.7081308,0.04165208,-0.2539311,0.8580604,0.2066497,-0.1237875,0.02784894,0.3521185,-0.2299879,-0.03424434,0.3039068,TWO
-0.3266813,0.1278909,0.283621,-0.4785311,0.7286988,0.05176817,-0.1670715,0.8642918,0.237306,-0.106693,0.03307535,0.361472,-0.217279,-0.008894503,0.3359081,TWO
-0.2863265,0.1105806,0.326385,-0.4453084,0.7477715,0.08077543,-0.1344613,0.8569274,0.2789593,-0.09943395,0.01654585,0.3520952,-0.2136577,-0.003200069,0.3464626,TWO
-0.5486126,0.2667154,-0.07635685,-0.4923988,0.7242439,0.3289744,-0.297486,0.7773669,0.5150115,-0.1682285,-0.05582394,0.5789735,-0.1218857,0.556119,0.7233695,THREE
-0.5711164,0.2102325,-0.04096557,-0.516712,0.7203206,0.2961182,-0.3026758,0.7964877,0.4766188,-0.1471663,-0.03294194,0.5976579,-0.1111318,0.6135672,0.6770282,THREE
-0.5855407,0.1095533,0.03031487,-0.5811812,0.6872308,0.2430066,-0.3386718,0.813381,0.4119496,-0.1134266,0.01607238,0.6097481,-0.12454,0.6962666,0.5883652,THREE
-0.5715666,0.005584006,0.1176506,-0.653179,0.6431271,0.1664367,-0.3768214,0.8371601,0.3093962,-0.09922162,0.08561984,0.6112543,-0.1422536,0.7813442,0.4661849,THREE
-0.3479141,-0.03291871,0.3610009,-0.678602,0.6093335,0.1569865,-0.3981929,0.8328899,0.2846282,-0.07637975,0.1491018,0.6160097,-0.15054,0.8097387,0.4231918,THREE
-0.1891356,-0.09037303,0.452696,-0.6756776,0.6020935,0.1819593,-0.3924678,0.8301443,0.2960386,-0.07291949,0.1796394,0.623947,-0.1368435,0.8099378,0.4313277,THREE
-0.1973144,-0.106125,0.4581131,-0.6607956,0.6178753,0.1814191,-0.3756994,0.8353928,0.30527,-0.08025134,0.18292,0.6236826,-0.1266911,0.8038419,0.4473333,THREE
-0.236875,-0.09812959,0.4453574,-0.6527299,0.6265627,0.187086,-0.3650074,0.8374056,0.3166973,-0.07983175,0.1782616,0.6219124,-0.1173083,0.7994332,0.4592383,THREE
-0.2571977,-0.08808625,0.432074,-0.6502552,0.6285367,0.194393,-0.3619974,0.8355601,0.3284191,-0.08251698,0.1646955,0.6195586,-0.1172063,0.7912303,0.4737881,THREE
-0.2892114,-0.1146285,0.4151651,-0.6112959,0.6436678,0.2545398,-0.2997274,0.8201977,0.4157357,-0.1028778,0.04740007,0.6107811,-0.08821808,0.7186301,0.5831255,THREE
-0.2824027,-0.102842,0.4114482,-0.6058222,0.6428247,0.2639682,-0.3049411,0.8179702,0.4165852,-0.1016529,0.04207578,0.6100193,-0.08785105,0.7113807,0.5922767,THREE
-0.262529,-0.06388431,0.4004782,-0.599397,0.65205,0.2561955,-0.3102527,0.8206148,0.4087249,-0.1025051,0.04456162,0.6068941,-0.09013472,0.7129238,0.5900373,THREE
-0.2457727,-0.05115655,0.3946013,-0.6059088,0.6494509,0.2491219,-0.3230582,0.8217968,0.3963692,-0.1024573,0.04615454,0.6060069,-0.09972855,0.7211269,0.578438,THREE
-0.2521808,-0.05877425,0.4068237,-0.6325819,0.6377416,0.2152849,-0.3534445,0.8324231,0.3422009,-0.09051509,0.0794235,0.6076086,-0.1222689,0.7616576,0.5169094,THREE
-0.2494946,-0.07454236,0.4254658,-0.6527417,0.6271305,0.1893266,-0.3725006,0.8368834,0.309814,-0.08113255,0.133927,0.6142039,-0.1361632,0.789606,0.4676382,THREE
-0.2592745,-0.08144914,0.4288533,-0.6596788,0.6221603,0.1847921,-0.3764506,0.8368895,0.3064236,-0.08040699,0.156746,0.6133999,-0.1360404,0.7983598,0.453596,THREE
-0.2682714,-0.08083064,0.4236347,-0.6507674,0.6318785,0.1828617,-0.3621213,0.8377839,0.3210434,-0.09218217,0.1443984,0.6132118,-0.1311183,0.7906838,0.4687138,THREE
-0.2655071,-0.09347925,0.4232456,-0.6499199,0.6321012,0.1908733,-0.3554864,0.8303372,0.3471672,-0.09992768,0.106907,0.6136487,-0.1303242,0.7727891,0.4972661,THREE
-0.2545488,-0.1037228,0.4238145,-0.6359618,0.642724,0.2071696,-0.3328153,0.8267867,0.3774349,-0.1061697,0.07007235,0.6108242,-0.1142095,0.7500812,0.5357772,THREE
-0.2418832,-0.05669506,0.3983701,-0.6230069,0.6384085,0.2381511,-0.3474154,0.8186901,0.3811058,-0.09591505,0.04805838,0.6080434,-0.1142139,0.7352229,0.5576537,THREE
-0.2444905,-0.05789413,0.4017788,-0.6297182,0.6363108,0.2269887,-0.3544189,0.8231342,0.364413,-0.09460647,0.05501872,0.6054063,-0.1170732,0.7478468,0.5399433,THREE
