pTHUMB_BONE3_X,rTHUMB_BONE3_X,pTHUMB_BONE3_Y,rTHUMB_BONE3_Y,pTHUMB_BONE3_Z,rTHUMB_BONE3_Z,pINDEX_BONE3_X,rINDEX_BONE3_X,pINDEX_BONE3_Y,rINDEX_BONE3_Y,pINDEX_BONE3_Z,rINDEX_BONE3_Z,pMIDDLE_BONE3_X,rMIDDLE_BONE3_X,pMIDDLE_BONE3_Y,rMIDDLE_BONE3_Y,pMIDDLE_BONE3_Z,rMIDDLE_BONE3_Z,pRING_BONE3_X,rRING_BONE3_X,pRING_BONE3_Y,rRING_BONE3_Y,pRING_BONE3_Z,rRING_BONE3_Z,pPINKY_BONE3_X,rPINKY_BONE3_X,pPINKY_BONE3_Y,rPINKY_BONE3_Y,pPINKY_BONE3_Z,rPINKY_BONE3_Z,target
0.0407486,273.845,0.06927466,129.39,0.007524729,82.43176,-0.04868746,316.9084,0.08575594,201.9584,-0.01543403,294.2096,-0.07411289,320.975,0.06898344,207.2934,-0.02796888,277.5507,-0.06991148,334.401,0.009131908,192.2083,-0.05356479,260.2388,-0.08092356,327.638,0.04171515,202.3575,-0.04068732,272.4568,OPEN
-0.002414227,338.2692,0.05229735,208.5154,-0.0508461,359.3336,-0.03995752,21.79624,-0.001075983,174.2416,-0.08710337,279.2395,-0.04615164,18.54194,-0.02130485,175.2033,-0.08732104,268.9153,-0.04414177,21.27264,-0.05525804,185.8229,-0.04712987,252.9707,-0.04555082,18.63533,-0.03944063,175.4782,-0.07305491,262.8341,OPEN
-0.01524925,30.45879,-0.01433492,230.4442,-0.06571507,36.13962,-0.08295965,36.36409,-0.03091526,242.7392,-0.04868543,331.1968,-0.09261942,37.86769,-0.04217196,241.8278,-0.03161097,320.4564,-0.06685209,44.28773,-0.05186915,253.3032,0.01932979,310.7063,-0.08514833,41.54892,-0.05072272,246.0452,-0.006874323,317.3795,OPEN
-0.0500145,11.68459,-0.03080845,250.5228,-0.05542529,72.30577,-0.09844017,29.81692,0.01044416,292.4246,0.0109185,7.244678,-0.1002269,8.81406,0.01149583,290.0481,0.03392112,356.2365,-0.04427147,21.97963,0.007946849,310.5695,0.07751811,338.1252,-0.07779217,21.66477,0.01446986,298.8691,0.06069899,350.254,OPEN
-0.06434155,348.8625,-0.005614996,264.4662,-0.05401826,78.61201,-0.07751846,343.7384,0.0646286,292.0126,0.01533771,357.6963,-0.06807137,339.8949,0.06672561,302.5073,0.04836464,341.9862,-0.01599693,346.2446,0.03034067,332.8944,0.08551812,314.1724,-0.04354668,337.2245,0.0577004,316.6005,0.07207394,330.8773,OPEN
-0.04863644,328.6424,0.01819301,254.9452,-0.0643127,78.26109,-0.05444145,314.6257,0.08725488,286.7525,0.004499674,347.3867,-0.04838991,314.9783,0.08739674,305.4602,0.04008794,324.0387,-0.02242184,333.8443,0.03573728,331.2491,0.08182669,295.1331,-0.03570271,316.8816,0.07128215,319.9164,0.0641973,310.2362,OPEN
-0.007770061,304.6207,0.03563833,215.5467,-0.07121038,97.43228,-0.01736927,294.9247,0.1009828,270.9427,-0.007246137,338.2898,-0.02529049,297.7321,0.1020159,287.6729,0.02304995,312.7469,-0.03720188,314.3124,0.05188048,307.787,0.06387877,280.4597,-0.03013754,299.8724,0.08596063,298.5101,0.0442636,298.7059,OPEN
0.01559448,301.5441,0.04070807,199.2088,-0.06108785,85.72046,-0.01473379,302.1245,0.1000206,236.8612,-0.01621842,341.5005,-0.03662014,304.1346,0.1004392,245.6515,0.002700806,322.6944,-0.06424189,312.8518,0.05280793,264.8631,0.02960157,289.7523,-0.05299568,308.4989,0.08296192,250.4586,0.01681876,313.0201,OPEN
0.01671791,313.8152,0.04532421,209.0729,-0.05353451,48.36433,-0.04775715,334.26,0.07597291,222.7112,-0.0461874,328.111,-0.07130194,336.7667,0.06756127,224.2506,-0.03846836,315.6854,-0.08447838,342.352,0.01823747,235.0709,-0.01021075,292.4097,-0.08343983,339.6049,0.04645216,228.3542,-0.02525949,307.4506,OPEN
0.01159191,318.2508,0.04760039,212.8738,-0.05266547,40.00658,-0.05936527,350.1242,0.05487168,221.1186,-0.05908966,324.443,-0.08114481,351.7316,0.04318106,223.3826,-0.0505271,311.9238,-0.0867238,354.5737,0.0004858971,237.0596,-0.01188874,291.2973,-0.08994484,351.4498,0.02503979,230.0057,-0.0327127,304.6358,OPEN
